%
Copyright (C) 1991-2013 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.
%

GROUP CREATE uart:u_uart0|i_wb_dat[7..0] = uart:u_uart0|i_wb_dat[7] uart:u_uart0|i_wb_dat[6] uart:u_uart0|i_wb_dat[5] uart:u_uart0|i_wb_dat[4] uart:u_uart0|i_wb_dat[3] uart:u_uart0|i_wb_dat[2] uart:u_uart0|i_wb_dat[1] uart:u_uart0|i_wb_dat[0] ;
INPUTS brd_clk_p;
OUTPUTS i_uart0_tx o_uart0_rx uart:u_uart0|tx_bit_pulse uart:u_uart0|i_wb_dat[7..0];
UNIT ns;
RADIX HEX;
PATTERN
             0.0> 0 = X X X XX 
   60500000000.0> 1 = 1 1 0 00 
   61000000000.0> 0 = 1 1 0 00 
   61500000000.0> 1 = 1 1 0 00 
   62000000000.0> 0 = 1 1 0 00 
   62500000000.0> 1 = 1 1 0 00 
   63000000000.0> 0 = 1 1 0 00 
   63500000000.0> 1 = 1 1 0 00 
   64000000000.0> 0 = 1 1 0 00 
   64500000000.0> 1 = 1 1 0 00 
   65000000000.0> 0 = 1 1 0 00 
   65500000000.0> 1 = 1 1 0 00 
   66000000000.0> 0 = 1 1 0 00 
   66500000000.0> 1 = 1 1 0 00 
   67000000000.0> 0 = 1 1 0 00 
   67500000000.0> 1 = 1 1 0 00 
   68000000000.0> 0 = 1 1 0 00 
   68500000000.0> 1 = 1 1 0 00 
   69000000000.0> 0 = 1 1 0 00 
   69500000000.0> 1 = 1 1 0 00 
   70000000000.0> 0 = 1 1 0 00 
   70500000000.0> 1 = 1 1 0 00 
   71000000000.0> 0 = 1 1 0 00 
   71500000000.0> 1 = 1 1 0 00 
   72000000000.0> 0 = 1 1 0 00 
   72500000000.0> 1 = 1 1 0 00 
   73000000000.0> 0 = 1 1 0 00 
   73500000000.0> 1 = 1 1 0 00 
   74000000000.0> 0 = 1 1 0 00 
   74500000000.0> 1 = 1 1 0 00 
   75000000000.0> 0 = 1 1 0 00 
   75500000000.0> 1 = 1 1 0 00 
   76000000000.0> 0 = 1 1 0 00 
   76500000000.0> 1 = 1 1 0 00 
   77000000000.0> 0 = 1 1 0 00 
   77500000000.0> 1 = 1 1 0 00 
   78000000000.0> 0 = 1 1 0 00 
   78500000000.0> 1 = 1 1 0 00 
   79000000000.0> 0 = 1 1 0 00 
   79500000000.0> 1 = 1 1 0 00 
   80000000000.0> 0 = 1 1 0 00 
   80500000000.0> 1 = 1 1 0 00 
   81000000000.0> 0 = 1 1 0 00 
   81500000000.0> 1 = 1 1 0 00 
   82000000000.0> 0 = 1 1 0 00 
   82500000000.0> 1 = 1 1 0 00 
   83000000000.0> 0 = 1 1 0 00 
   83500000000.0> 1 = 1 1 0 00 
   84000000000.0> 0 = 1 1 0 00 
   84500000000.0> 1 = 1 1 0 00 
   85000000000.0> 0 = 1 1 0 00 
   85500000000.0> 1 = 1 1 0 00 
   86000000000.0> 0 = 1 1 0 00 
   86500000000.0> 1 = 1 1 0 00 
   87000000000.0> 0 = 1 1 0 00 
   87500000000.0> 1 = 1 1 0 00 
   88000000000.0> 0 = 1 1 0 00 
   88500000000.0> 1 = 1 1 0 00 
   89000000000.0> 0 = 1 1 0 00 
   89500000000.0> 1 = 1 1 0 00 
   90000000000.0> 0 = 1 1 0 00 
   90500000000.0> 1 = 1 1 0 00 
   91000000000.0> 0 = 1 1 0 00 
   91500000000.0> 1 = 1 1 0 00 
   92000000000.0> 0 = 1 1 0 00 
   92500000000.0> 1 = 1 1 0 00 
   93000000000.0> 0 = 1 1 0 00 
   93500000000.0> 1 = 1 1 0 00 
   94000000000.0> 0 = 1 1 0 00 
   94500000000.0> 1 = 1 1 0 00 
   95000000000.0> 0 = 1 1 0 00 
   95500000000.0> 1 = 1 1 0 00 
   96000000000.0> 0 = 1 1 0 00 
   96500000000.0> 1 = 1 1 0 00 
   97000000000.0> 0 = 1 1 0 00 
   97500000000.0> 1 = 1 1 0 00 
   98000000000.0> 0 = 1 1 0 00 
   98500000000.0> 1 = 1 1 0 00 
   99000000000.0> 0 = 1 1 0 00 
   99500000000.0> 1 = 1 1 0 00 
  100000000000.0> 0 = 1 1 0 00 
  100500000000.0> 1 = 1 1 0 00 
